Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Ωx (rad/s),Ωy (rad/s),Ωz (rad/s)
0.009999999776482582,-0.9820300340652466,0.47622233629226685,-10.028751373291016,0.2209499180316925,0.038036808371543884,-0.21529191732406616
0.019999999552965164,-0.9820432066917419,0.49986541271209717,-9.8855619430542,0.22388087213039398,0.037854764610528946,-0.21517904102802277
0.029999999329447746,-0.6457238793373108,0.16007044911384583,-9.082023620605469,0.22567221522331238,0.07210864126682281,-0.22349128127098083
0.03999999910593033,-0.6447324752807617,0.16798633337020874,-8.953791618347168,0.25020480155944824,0.1010795384645462,-0.22581420838832855
0.05000000074505806,-0.6104466319084167,0.24999196827411652,-8.906396865844727,0.27916842699050903,0.136178120970726,-0.21797528862953186
0.05999999865889549,-0.5520713329315186,0.3009125292301178,-8.963973045349121,0.3325517475605011,0.17827092111110687,-0.21030747890472412
0.07000000029802322,-0.5513885021209717,0.2648465037345886,-9.072461128234863,0.3667764961719513,0.21429793536663055,-0.18892793357372284
0.07999999821186066,-0.46886470913887024,0.22088095545768738,-9.116803169250488,0.36333218216896057,0.24020680785179138,-0.16106751561164856
0.09000000357627869,-0.4348611831665039,0.16777388751506805,-9.16694450378418,0.3434235751628876,0.26427701115608215,-0.1344231814146042
0.10000000149011612,-0.4513147175312042,0.1624465137720108,-9.243646621704102,0.30888932943344116,0.30048972368240356,-0.11950992792844772
0.10999999940395355,-0.5511357188224792,0.21287354826927185,-9.244553565979004,0.1849411129951477,0.31022191047668457,-0.10516829788684845
0.11999999731779099,-0.6399624943733215,0.29243120551109314,-9.295587539672852,0.14589576423168182,0.31976118683815,-0.09248693287372589
0.12999999523162842,-0.6348150968551636,0.3207087814807892,-9.30225658416748,0.13717573881149292,0.3213376998901367,-0.05527297779917717
0.14000000059604645,-0.6387676000595093,0.2904767394065857,-9.279375076293945,0.12721049785614014,0.3117693066596985,-0.016406036913394928
0.15000000596046448,-0.6756009459495544,0.29902341961860657,-9.436895370483398,0.13802771270275116,0.30062443017959595,0.026968378573656082
0.1599999964237213,-0.74113929271698,0.33862248063087463,-9.615067481994629,0.14644917845726013,0.28097066283226013,0.05272432789206505
0.17000000178813934,-0.8077610731124878,0.42545217275619507,-9.659040451049805,0.16205786168575287,0.2676849067211151,0.07470826804637909
0.18000000715255737,-0.7274171113967896,0.37827056646347046,-9.774514198303223,0.19605323672294617,0.27624109387397766,0.1089075356721878
0.1899999976158142,-0.6603357791900635,0.10044634342193604,-9.806401252746582,0.22868689894676208,0.32356593012809753,0.1565454751253128
0.20000000298023224,-0.5765842199325562,-0.187794029712677,-9.804319381713867,0.2584369480609894,0.3936210870742798,0.1641440987586975
0.20999999344348907,-0.40665510296821594,-0.3849199712276459,-9.687463760375977,0.2684968411922455,0.45178496837615967,0.14450493454933167
0.2199999988079071,-0.3739187717437744,-0.49900421500205994,-9.426687240600586,0.26102927327156067,0.5134441256523132,0.10389397293329239
0.23000000417232513,-0.4558188021183014,-0.4377492368221283,-9.202624320983887,0.2235131412744522,0.5705230236053467,0.07109647244215012
0.23999999463558197,-0.5915703177452087,-0.2584356665611267,-9.081273078918457,0.17826728522777557,0.5874351263046265,0.05615772306919098
0.25,-0.631784975528717,-0.03497682884335518,-9.054020881652832,0.1438167840242386,0.5683639049530029,0.08623545616865158
0.25999999046325684,-0.5148965716362,-0.006646961439400911,-9.099120140075684,0.11805355548858643,0.5592688918113708,0.16097284853458405
0.27000001072883606,-0.20183943212032318,-0.3365781307220459,-9.203763008117676,0.08738963305950165,0.5994247198104858,0.24392054975032806
0.2800000011920929,0.05383388325572014,-0.7360920310020447,-9.081791877746582,0.02997943013906479,0.7073929309844971,0.28252896666526794
0.28999999165534973,0.21378645300865173,-0.9549555778503418,-8.844066619873047,-0.04608326777815819,0.8215579986572266,0.2509329915046692
0.30000001192092896,0.3490784168243408,-0.9457062482833862,-8.636836051940918,-0.11188581585884094,0.9086381196975708,0.16632866859436035
0.3100000023841858,0.36428776383399963,-0.753303050994873,-8.41299819946289,-0.17728422582149506,0.9208899140357971,0.0875534787774086
0.3199999928474426,0.3196478486061096,-0.48809781670570374,-8.300003051757812,-0.2298847734928131,0.897460401058197,0.03328539431095123
0.33000001311302185,0.3984324634075165,-0.27719590067863464,-8.187800407409668,-0.2828930616378784,0.8509511947631836,0.03272105008363724
0.3400000035762787,0.33940720558166504,-0.17455731332302094,-8.311141014099121,-0.3099342882633209,0.7914037108421326,0.058913908898830414
0.3499999940395355,0.34953799843788147,-0.05528948828577995,-8.465291976928711,-0.3205038905143738,0.7263075709342957,0.09576741605997086
0.36000001430511475,0.5490683913230896,0.02015659585595131,-8.549847602844238,-0.32375890016555786,0.6871201992034912,0.13679343461990356
0.3700000047683716,0.8014785647392273,0.023101359605789185,-8.407013893127441,-0.3379002809524536,0.6764959692955017,0.170169860124588
0.3799999952316284,0.9660402536392212,-0.033107344061136246,-8.147254943847656,-0.3472028374671936,0.7301305532455444,0.18243978917598724
0.38999998569488525,1.098515510559082,-0.09415644407272339,-7.844487190246582,-0.3395751118659973,0.798397958278656,0.1898745745420456
0.4000000059604645,1.1303917169570923,-0.2113259881734848,-7.561931133270264,-0.3201397955417633,0.8355791568756104,0.16375453770160675
0.4099999964237213,1.015010118484497,-0.2974889576435089,-7.481979846954346,-0.3037956655025482,0.783397376537323,0.092363141477108
0.41999998688697815,0.8931843638420105,-0.19994240999221802,-7.50088357925415,-0.28386521339416504,0.6381533741950989,0.011840309016406536
